0.14,-0.33,9.83,0.1
0.14,-0.33,9.83,0.2
0.14,-0.33,9.83,0.3
0.14,-0.33,9.83,0.4
0.14,-0.33,9.83,0.5
0.18,-0.33,9.85,0.6
0.18,-0.33,9.85,0.7
0.18,-0.33,9.85,0.8
0.18,-0.33,9.85,0.9
0.18,-0.33,9.85,1.0
0.18,-0.35,9.89,1.1
0.18,-0.35,9.89,1.2
0.18,-0.35,9.89,1.3
0.18,-0.35,9.89,1.4
0.18,-0.35,9.89,1.5
0.16,-0.35,9.89,1.6
0.16,-0.35,9.89,1.7
0.16,-0.35,9.89,1.8
0.16,-0.35,9.89,1.9
0.16,-0.35,9.89,2.0
0.16,-0.39,9.89,2.1
0.16,-0.39,9.89,2.2
0.16,-0.39,9.89,2.3
0.16,-0.39,9.89,2.4
0.16,-0.39,9.89,2.5
0.2,-0.43,9.89,2.6
0.2,-0.43,9.89,2.7
0.2,-0.43,9.89,2.8
0.2,-0.43,9.89,2.9
0.2,-0.43,9.89,3.0
0.18,-0.39,9.89,3.1
0.18,-0.39,9.89,3.2
0.18,-0.39,9.89,3.3
0.18,-0.39,9.89,3.4
0.18,-0.39,9.89,3.5
0.2,-0.39,9.92,3.6
0.2,-0.39,9.92,3.7
0.2,-0.39,9.92,3.8
0.2,-0.39,9.92,3.9
0.2,-0.39,9.92,4.0
0.14,-0.41,9.9,4.1
0.14,-0.41,9.9,4.2
0.14,-0.41,9.9,4.3
0.14,-0.41,9.9,4.4
0.14,-0.41,9.9,4.5
0.14,-0.41,9.94,4.6
0.14,-0.41,9.94,4.7
0.14,-0.41,9.94,4.8
0.14,-0.41,9.94,4.9
0.14,-0.41,9.94,5.0
0.18,-0.35,9.9,5.1
0.18,-0.35,9.9,5.2
0.18,-0.35,9.9,5.3
0.18,-0.35,9.9,5.4
0.18,-0.35,9.9,5.5
0.2,-0.37,9.85,5.6
0.2,-0.37,9.85,5.7
0.2,-0.37,9.85,5.8
0.2,-0.37,9.85,5.9
0.2,-0.37,9.85,6.0
0.2,-0.37,9.85,6.1
0.2,-0.37,9.85,6.2
0.2,-0.37,9.85,6.3
0.2,-0.37,9.85,6.4
0.2,-0.37,9.85,6.5
0.18,-0.41,9.9,6.6
0.18,-0.41,9.9,6.7
0.18,-0.41,9.9,6.8
0.18,-0.41,9.9,6.9
0.18,-0.41,9.9,7.0
0.12,-0.41,9.92,7.1
0.12,-0.41,9.92,7.2
0.12,-0.41,9.92,7.3
0.12,-0.41,9.92,7.4
0.12,-0.41,9.92,7.5
0.12,-0.37,9.9,7.6
0.12,-0.37,9.9,7.7
0.12,-0.37,9.9,7.8
0.12,-0.37,9.9,7.9
0.12,-0.37,9.9,8.0
0.12,-0.37,9.89,8.1
0.12,-0.37,9.89,8.2
0.12,-0.37,9.89,8.3
0.12,-0.37,9.89,8.4
0.12,-0.37,9.89,8.5
0.18,-0.35,9.92,8.6
0.18,-0.35,9.92,8.7
0.18,-0.35,9.92,8.8
0.18,-0.35,9.92,8.9
0.18,-0.35,9.92,9.0
0.24,-0.33,9.9,9.1
0.24,-0.33,9.9,9.2
0.24,-0.33,9.9,9.3
0.24,-0.33,9.9,9.4
0.24,-0.33,9.9,9.5
0.2,-0.35,9.98,9.6
0.2,-0.35,9.98,9.7
0.2,-0.35,9.98,9.8
0.2,-0.35,9.98,9.9
0.2,-0.35,9.98,10.0
0.2,-0.35,9.9,10.1
0.2,-0.35,9.9,10.2
0.2,-0.35,9.9,10.3
0.2,-0.35,9.9,10.4
0.2,-0.35,9.9,10.5
0.14,-0.39,9.87,10.6
0.14,-0.39,9.87,10.7
0.14,-0.39,9.87,10.8
0.14,-0.39,9.87,10.9
0.14,-0.39,9.87,11.0
0.16,-0.43,9.89,11.1
0.16,-0.43,9.89,11.2
0.16,-0.43,9.89,11.3
0.16,-0.43,9.89,11.4
0.16,-0.43,9.89,11.5
0.2,-0.47,9.89,11.6
0.2,-0.47,9.89,11.7
0.2,-0.47,9.89,11.8
0.2,-0.47,9.89,11.9
0.2,-0.47,9.89,12.0
0.14,-0.43,9.89,12.1
