0.14,-0.47,9.9,0.1
0.18,-0.43,9.94,0.2
0.16,-0.37,9.92,0.3
0.16,-0.39,9.89,0.4
0.16,-0.41,9.92,0.5
0.16,-0.41,9.92,0.6
0.18,-0.37,9.89,0.7
0.18,-0.43,9.9,0.8
0.2,-0.37,9.85,0.9
0.16,-0.39,9.87,1.0
0.12,-0.45,9.89,1.1
0.18,-0.41,9.9,1.2
0.16,-0.39,9.92,1.3
0.2,-0.39,9.89,1.4
0.14,-0.37,9.92,1.5
0.18,-0.31,9.9,1.6
0.2,-0.39,9.9,1.7
0.18,-0.39,9.87,1.8
0.14,-0.43,9.92,1.9
0.12,-0.45,9.87,2.0
0.12,-0.37,9.9,2.1
0.14,-0.37,9.96,2.2
0.18,-0.43,9.94,2.3
0.18,-0.45,9.94,2.4
0.22,-0.37,9.92,2.5
0.16,-0.37,9.9,2.6
0.18,-0.37,9.94,2.7
0.18,-0.37,9.89,2.8
0.18,-0.39,9.89,2.9
0.22,-0.39,9.89,3.0
0.18,-0.39,9.9,3.1
0.16,-0.37,9.9,3.2
0.14,-0.37,9.92,3.3
0.16,-0.35,9.9,3.4
0.2,-0.37,9.94,3.5
0.2,-0.37,9.96,3.6
0.14,-0.37,9.98,3.7
0.16,-0.41,9.9,3.8
0.16,-0.35,9.83,3.9
0.16,-0.43,9.9,4.0
0.14,-0.39,9.94,4.1
0.16,-0.41,9.9,4.2
0.18,-0.41,10.02,4.3
0.16,-0.41,9.92,4.4
0.16,-0.35,9.94,4.5
0.22,-0.37,9.9,4.6
0.16,-0.41,9.92,4.7
0.14,-0.37,9.87,4.8
0.14,-0.41,9.9,4.9
0.14,-0.41,9.9,5.0
0.18,-0.41,9.92,5.1
0.1,-0.35,9.94,5.2
0.18,-0.39,9.96,5.3
0.18,-0.45,9.89,5.4
0.18,-0.43,9.9,5.5
0.16,-0.39,9.94,5.6
0.2,-0.39,9.94,5.7
0.16,-0.41,9.96,5.8
0.18,-0.39,9.96,5.9
0.16,-0.39,9.94,6.0
0.18,-0.41,9.92,6.1
0.16,-0.37,9.92,6.2
0.16,-0.41,9.9,6.3
0.16,-0.37,9.92,6.4
0.18,-0.35,9.96,6.5
0.2,-0.39,9.92,6.6
0.2,-0.37,9.89,6.7
0.2,-0.37,9.9,6.8
0.2,-0.37,9.89,6.9
0.2,-0.39,9.9,7.0
0.2,-0.43,9.79,7.1
0.18,-0.41,9.87,7.2
0.12,-0.41,9.9,7.3
0.14,-0.41,9.9,7.4
0.12,-0.39,9.85,7.5
0.18,-0.39,9.87,7.6
0.12,-0.35,9.92,7.7
0.16,-0.41,9.87,7.8
0.14,-0.43,9.9,7.9
0.18,-0.39,9.87,8.0
0.18,-0.35,9.96,8.1
0.2,-0.39,9.92,8.2
0.16,-0.43,9.87,8.3
0.1,-0.39,9.87,8.4
0.14,-0.39,9.9,8.5
0.16,-0.43,9.92,8.6
0.14,-0.39,9.96,8.7
0.12,-0.43,9.94,8.8
0.18,-0.43,9.89,8.9
0.16,-0.37,9.9,9.0
0.2,-0.35,9.98,9.1
0.22,-0.35,9.98,9.2
0.18,-0.37,9.94,9.3
0.16,-0.43,9.89,9.4
0.16,-0.41,9.92,9.5
0.22,-0.37,9.85,9.6
0.2,-0.39,9.92,9.7
0.16,-0.43,9.96,9.8
0.16,-0.35,10.0,9.9
0.16,-0.43,9.98,10.0
0.14,-0.43,9.96,10.1
0.14,-0.39,9.96,10.2
0.2,-0.41,9.94,10.3
0.14,-0.37,9.89,10.4
0.2,-0.43,9.94,10.5
0.25,-0.45,9.89,10.6
0.2,-0.41,9.87,10.7
0.14,-0.45,9.92,10.8
0.16,-0.43,9.89,10.9
